Day,Time,Hour,Downlink_traffic,Downlink_traffic (normalized),Uplink_traffic_volume_(bit),Uplink_traffic (normalized),Average_user_number,Average_user_number(normalized),Maximum_user_number,Maximum_user_number(normalized),User_Downlink_Average_Throughput_(kbps),User_Downlink_Average_Throughput_(kbps) (normalized),User_Uplink_Average_Throughput_(kbps),User_Uplink_Average_Throughput_(kbps) (normalized),Cell_Downlink_Average_Throughput_(kbps),Cell_Downlink_Average_Throughput_(kbps) (normalized),Cell_Uplink_Average_Throughput_(kbps),Cell_Uplink_Average_Throughput_(kbps) (normalized),Downlink_Resource_Block_Utilizing_Rate_(Percentage),Downlink_Resource_Block_Utilizing_Rate_(Percentage)(normalized),Uplink_Resource_Block_Utilizing_Rate_(Percentage),Uplink_Resource_Block_Utilizing_Rate_(Percentage) (normalized),Average_CPU_Load_by_user_plane,Average_CPU_Load_by_user_plane (normalized)
Monday,20,20:00,17827426144,0.345829651,1958280192,0.316098427,32.396,0.65016426,64,0.62195122,2584.690865,0.030077356,458.204866,0.058106351,7505.102836,0.278782657,808.8427117,0.124669418,59.85466667,0.641165383,24.19866667,0.877589227,14,0.909090909
Monday,21,21:00,17443788408,0.338357229,1609536536,0.25870596,27.161,0.516846207,46,0.402439024,3121.746806,0.051619723,522.588456,0.078637895,8075.132608,0.30814116,800.9218409,0.122321269,53.00266667,0.566078812,22.77066667,0.812911408,12,0.727272727
Monday,22,22:00,13640541272,0.264278314,1143923136,0.182080332,22.964,0.409962564,45,0.390243902,3901.581035,0.082900404,532.5741444,0.081822272,8199.451111,0.314543993,734.2013426,0.102541916,45.26,0.48123201,16.92533333,0.548161121,11,0.636363636
Monday,23,23:00,15822196416,0.306772173,898479064,0.141687796,21.478,0.372119082,39,0.317073171,5095.196868,0.130778675,675.1507648,0.127289109,11018.03547,0.459710831,874.0111226,0.143988653,32.38133333,0.340103155,11.704,0.31167341,10,0.545454545
Tuesday,0,0:00,9547437280,0.184553624,444320224,0.066947235,15.787,0.227188224,23,0.12195122,5715.075755,0.155643233,275.9927833,0,9747.793426,0.394288975,388.3028747,0,26.02533333,0.270451922,8.693333333,0.175312519,8,0.363636364
Tuesday,1,1:00,9916521976,0.191742584,344588720,0.050534501,13.347,0.165049533,21,0.097560976,7030.070509,0.208390251,366.1331279,0.02874522,11602.00296,0.489787176,454.1238457,0.019512687,23.728,0.245276954,7.464,0.119632828,8,0.363636364
Tuesday,2,2:00,6417103600,0.123581588,208827360,0.028192361,11.483,0.117579647,19,0.073170732,8772.922327,0.278299455,601.9446443,0.103944112,14674.67567,0.648040443,699.2682086,0.092185957,11.40666667,0.110255549,6.188,0.061839483,8,0.363636364
Tuesday,3,3:00,4826211472,0.092594498,197372624,0.026307265,10.947,0.103929508,19,0.073170732,11752.71754,0.397824885,487.0230191,0.067296288,15698.72351,0.700782446,575.7358832,0.055564686,8.212,0.075247293,6.612,0.081043541,8,0.363636364
Tuesday,4,4:00,12925207072,0.250345173,509929872,0.077744563,13.643,0.172587669,22,0.109756098,16325.94202,0.581265887,693.4432609,0.133122477,18724.61291,0.856626211,797.0381615,0.121169949,13.704,0.135430517,9.374666667,0.20617187,8,0.363636364
Tuesday,5,5:00,9700102912,0.187527216,689819656,0.107348882,17.497,0.270736242,47,0.414634146,4798.522499,0.118878485,546.1508184,0.086151792,11403.78239,0.479578131,743.1031223,0.105180857,18.31066667,0.185911953,10.89333333,0.274956217,10,0.545454545
